,geography-state_name,plot_details-polygon
40,southwest..,3.1970615 43.5435134 475.1 5.0;3.1972054 43.5435521 464.7 3.0;3.1974498 43.5434862 459.7 3.0;3.1976814 43.5434671 462.6 3.0;3.1979125 43.5434377 461.0 3.0;3.1981278 43.5433791 459.0 3.0;3.1982117 43.5432576 465.0 3.0;3.1982685 43.5432523 470.5 3.0;3.1984824 43.5432715 462.1 3.0;3.1986509 43.5431486 460.3 3.0;3.1985371 43.5429091 464.1 3.412;3.1984408 43.5427641 462.8 3.0;3.1984637 43.542781 462.0 3.0;3.1984681 43.5427843 462.0 3.785;3.1986928 43.5432876 460.7 3.841;3.1984122 43.5433332 457.2 3.048;3.1981805 43.5432286 459.6 3.46;3.1979254 43.5431125 462.6 3.566;3.1976862 43.5429671 464.2 3.283;3.1974568 43.5428217 463.5 3.0;3.1974395 43.5427952 464.8 3.0;3.197364 43.5427572 463.7 1.533;3.1970845 43.5428003 459.9 2.895;3.1969259 43.5429536 463.5 3.0;3.1969782 43.5431884 466.8 3.0;3.1970173 43.5434383 465.1 3.0;3.1970615 43.5435134 475.1 5.0
41,southwest..,3.1961356 43.5416209 475.4 3.633;3.1959037 43.5417316 474.3 3.0;3.195842 43.5419625 464.9 3.0;3.1958434 43.5421836 463.5 3.0;3.1959931 43.5423886 462.0 3.0;3.1961556 43.5425179 459.8 3.0;3.196414 43.5425463 460.8 3.0;3.1965893 43.5425457 459.5 3.0;3.1966567 43.5425772 462.4 1.95;3.1968436 43.5425949 459.7 3.0;3.1971082 43.5426609 459.8 3.582;3.1971756 43.5425068 460.8 3.186;3.1970595 43.542403 460.3 3.0;3.1968523 43.5422337 460.9 3.0;3.1967998 43.5421801 460.3 3.0;3.1966843 43.5419685 459.6 3.0;3.1965516 43.5417431 461.3 3.437;3.1963694 43.541566 458.9 3.0;3.1961982 43.5415176 462.3 3.0;3.1961356 43.5416209 475.4 3.633
42,southwest.,2.1956751 45.18386 0.0 0.0; 2.1959047435359293 45.18394488841295 0.0 0.0; 2.1956751 45.18386 0.0 0.0; 2.195577419268817 45.18399719148874 0.0 0.0; 2.195548606689159 45.18377188593149 0.0 0.0; 2.195779777370761 45.18377456814051 0.0 0.0; 2.1959047435359293 45.18394488841295 0.0 0.0; 2.1956751 45.18386 0.0 0.0
43,southwest..,3.1398206 43.5825926 455.5743408203125 4.656; 3.1398262 43.5825515 459.634521484375 4.541; 3.1398941 43.5823298 459.6376556633051 4.344; 3.1400559 43.5821259 459.66838760203547 4.55; 3.1402225 43.5819275 459.07378294154046 4.851; 3.1403963 43.5818283 458.9694875281562 4.091; 3.1406164 43.5819486 459.01558552450047 4.936; 3.1408417 43.5820251 459.1253436532119 4.803; 3.1410419 43.5820851 458.9059609388822 4.271; 3.1410675 43.5822246 458.9227331555144 4.802; 3.1409275 43.582384 458.7295522414722 4.164; 3.1408626 43.5824016 459.15453951739613 4.213; 3.1407197 43.5829056 458.85248504832646 4.98; 3.1406003 43.5830206 458.4952120683446 4.481; 3.1404599 43.5831988 459.4957377076966 4.791; 3.1398206 43.5825926 455.5743408203125 4.656
44,southwest..,3.140302 43.5832617 459.93095210762226 3.326; 3.1402128 43.583315 459.7745371168579 5.589; 3.1400335 43.5835358 460.1463438329301 4.143; 3.1399909 43.58365 459.10713716702617 4.546; 3.1401789 43.5838663 459.9633504489495 4.964; 3.1402744 43.5841005 459.51703963662044 7.793; 3.1404055 43.5843284 459.48771116993277 6.37; 3.140527 43.5845287 459.1403808061774 4.114; 3.1407119 43.5844526 459.88704213128295 4.788; 3.1408548 43.5842397 459.77243727448376 7.353; 3.1410424 43.5839801 460.0886589858923 7.827; 3.1410337 43.5837861 460.48821008988136 8.357; 3.1408305 43.5836073 460.0268561064638 7.82; 3.1406227 43.5834015 460.7553241331318 7.725; 3.1404353 43.5832512 460.51500820186027 7.565; 3.140302 43.5832617 459.93095210762226 3.326
45,southwest..,3.1435466 43.5615917 456.3 3.98;3.1435821 43.5615209 453.3 3.0;3.1434657 43.5613484 451.5 3.0;3.1432216 43.5613484 453.1 3.0;3.1429966 43.5614166 453.3 3.0;3.1427599 43.5614079 453.6 3.0;3.1425266 43.5613937 454.6 3.0;3.1423181 43.5614916 456.0 3.0;3.1422734 43.5617173 456.5 3.0;3.1424185 43.5618984 455.40000000000003 3.0;3.1426213 43.5620387 456.3 3.0;3.1428344 43.56213 456.8 3.0;3.1430843 43.56203 457.5 3.0;3.1433074 43.5619374 454.1 3.0;3.1434934 43.5618047 453.1 3.0;3.1435466 43.5615917 456.3 3.98
46,southwest..,3.1362078 43.582686 466.5 2.457;3.1362497 43.5826264 464.59999999999997 1.747;3.1364514 43.5824241 463.0 5.388;3.1366295 43.5825662 464.59999999999997 3.233;3.1368679 43.5825943 459.9 3.0;3.1370394 43.5824482 458.59999999999997 3.0;3.1372508 43.5825179 458.59999999999997 3.0;3.1372203 43.5826633 459.4 3.0;3.1370566 43.5827188 462.7 3.005;3.1368733 43.5828968 459.9 3.0;3.1367175 43.583086 459.59999999999997 3.0;3.1365568 43.5832695 458.3 3.0;3.1363535 43.5834364 457.09999999999997 3.0;3.1361453 43.5833757 454.9 3.0;3.1360256 43.5832352 458.9 3.0;3.1361074 43.5830539 457.9 3.0;3.1361975 43.5828655 457.59999999999997 3.0;3.1362078 43.582686 466.5 2.457
47,jubaland,-0.1171171 42.5669545 -27.0 5.75;-0.1171039 42.5668757 -31.0 3.478;-0.1172411 42.5668734 -29.0 3.628;-0.1172347 42.5669372 -29.0 3.907;-0.1171171 42.5669545 -27.0 5.75
48,southwest.,2.6642917338898333 44.794008024036884 0.0 0.0; 2.664311158884645 44.79392923414707 0.0 0.0; 2.6642672851890175 44.79391850531101 0.0 0.0; 2.6642414968328447 44.79397114366293 0.0 0.0; 2.6642917338898333 44.794008024036884 0.0 0.0
49,southwest.,2.6292233 44.8378133 0.0 0.0; 2.62918993490947 44.83784068375826 0.0 0.0; 2.6292234272281814 44.837878569960594 0.0 0.0; 2.6292652926252886 44.83785208314657 0.0 0.0; 2.6292233 44.8378133 0.0 0.0
