Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country
Mangifera indica,mango,5,3,SOIL_FERTILITY FRUITS ,,True,Kenya
mangifera indica,maembe,100,75,FRUITS SHADE ,,True,Kenya
Citrus sinensis,musungwa,100,80,FRUITS SHADE MEDICINAL ,,True,Kenya
,leucaena,25,25,CONSTRUCTION FIREWOOD ,,False,Kenya
,mpenda bure,10,10,CONSTRUCTION FIREWOOD ,,False,Kenya
,mlezeni,15,15,CONSTRUCTION FIREWOOD ,,False,Kenya
,mlezeni,500,500,CONSTRUCTION FIREWOOD ,,False,Kenya
,Orange tree,12,12,FRUITS ,,True,Kenya
melia Volkensii,,11,4,CONSTRUCTION SHADE ,,False,Kenya
,mfenesi,8,3,FRUITS ,,True,Kenya
,croton,35,35,SHADE ,none,False,Kenya
,mlezeni,30,9,CONSTRUCTION FODDER ,,False,Kenya
Grevillea robusta,,50,24,CONSTRUCTION ,,False,Kenya
,Gluvelia,40,35,CONSTRUCTION SHADE ,,False,Kenya
,kipera,5,2,FRUITS ,,True,Kenya
,kitomoko mwitu,1,1,FRUITS ,,True,Kenya
,Mkungu,25,23,SHADE FRUITS ,,True,Kenya
,mjohoro,50,30,SHADE ,,False,Kenya
,avocado,5,3,SHADE FRUITS ,,True,Kenya
,mwarubaini,15,15,SHADE MEDICINAL ,,False,Kenya
,neem,30,24,MEDICINAL ,,False,Kenya
,grvillea,50,40,CONSTRUCTION FIREWOOD ,,False,Kenya
,lucena,20,20,FODDER SOIL_FERTILITY ,seed collection,False,Kenya
Melia volkensii,melia,35,34,FODDER SOIL_FERTILITY CONSTRUCTION FIREWOOD ,,False,Kenya
,koma manga,12,12,FRUITS ,,True,Kenya
,mchora,15,13,FODDER SOIL_FERTILITY CONSTRUCTION FIREWOOD ,seed collection,False,Kenya
,grivelia,150,100,SOIL_FERTILITY SHADE FIREWOOD CONSTRUCTION ,,False,Kenya
,ashok,100,100,SHADE ,beautification,False,Kenya
Senna singueana,Muchola,100,70,SOIL_FERTILITY FODDER SHADE CONSTRUCTION FIREWOOD ,,False,Kenya
sarac,Ashok,100,50,SOIL_FERTILITY SHADE ,,False,Kenya
,Australian grevillea,700,450,FIREWOOD SHADE ,,False,Kenya
,senna,45,22,CONSTRUCTION FIREWOOD ,,False,Kenya
,mpenda bure,100,100,CONSTRUCTION FIREWOOD ,,False,Kenya
,Mlezeni,50,45,SHADE CONSTRUCTION FIREWOOD ,,False,Kenya
,Ashok,30,24,CONSTRUCTION SHADE ,,False,Kenya
,Muembe,25,20,FIREWOOD SHADE FRUITS ,,True,Kenya
,kisambalau,2,2,FRUITS ,,True,Kenya
Syzygium carmin,kisambalau,3,1,FRUITS ,,True,Kenya
,mwarubaini,7,3,CONSTRUCTION SHADE MEDICINAL FIREWOOD ,,False,Kenya
Prunus africana,mngima,20,4,MEDICINAL SHADE FIREWOOD CONSTRUCTION SOIL_FERTILITY ,,False,Kenya
Grevillea robusta,Gravellia,20,18,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
,kiembe,20,10,FIREWOOD FRUITS ,,True,Kenya
,mfenesi,8,3,FRUITS ,,True,Kenya
,mpera,3,3,FODDER FRUITS ,,True,Kenya
melia Volkensii,,11,4,CONSTRUCTION SHADE ,,False,Kenya
Citrus limon,mutimu,80,68,FRUITS SHADE MEDICINAL ,,True,Kenya
,mpenda bure,15,10,SHADE FIREWOOD ,,False,Kenya
,orange tree,5,5,SHADE FRUITS ,,True,Kenya
,grivellia,50,50,SHADE ,,False,Kenya
,mwarubaini,10,8,SHADE ,,False,Kenya
,mkrismas,40,32,SHADE ,,False,Kenya
,Mjohoro,400,327,SHADE ,,False,Kenya
,Mango Tree,60,57,SHADE FRUITS ,,True,Kenya
,kisungwa,20,18,FRUITS ,,True,Kenya
,kitimu,60,55,MEDICINAL FRUITS ,,True,Kenya
,kipapai,100,60,FRUITS ,,True,Kenya
,kitae,20,4,FRUITS FIREWOOD ,,True,Kenya
,kipapai,100,60,FRUITS ,,True,Kenya
Syzygium carmin,kisambalau,3,1,FRUITS ,,True,Kenya
,Orange,20,15,FRUITS FIREWOOD ,,True,Kenya
Grevillea robusta,,50,24,CONSTRUCTION ,,False,Kenya
,Mchenza,13,11,FRUITS ,,True,Kenya
,Lemon,8,7,FRUITS ,,True,Kenya
,dakika tatu,15,15,SHADE ,,False,Kenya
,mpera,5,3,SHADE FRUITS ,,True,Kenya
