Uploaded Date,Date Collected,Engagement Date,Data Collector,Project Name,Country Name,County Name,Subcounty Name,Engagement Venue,Engagement Type,Other Engagement Type,Policy Issue,Other Policy Issue,Total Participants,Key Participants,Male Participants,Female Participants,Youth Participants,Photo,Comment
2025-08-29 17:06:50,2025-08-29,2025-08-29,Silas Muthuri,UKPact_NbS,Kenya,Makueni,Mbooni,Mulooni,TRAINING,,SCALING,,30,CfA,12,18,6,https://radrs.icraf.org/uploaded/media/JPEG_adac0970-bbb4-4722-9e0f-21809c9d6188_1762621639978700766.jpg,
2025-12-09 11:07:09,2025-12-09,2025-12-09,Augustus Mulavu,UKPact_NbS,Kenya,Makueni,Mbooni,North Mbooni,TRAINING,,BUILDING_RELATIONSHIPS - SCALING,,8,Farmers  Icraf,5,3,0,https://radrs.icraf.org/uploaded/media/JPEG_bac4f5da-6178-4eb4-9415-db390278706e_3051037236745507915.jpg,the participation was well represented
2025-12-09 11:12:02,2025-12-09,2025-12-09,Anthony Nzioki,UKPact_NbS,Kenya,Makueni,Mbooni,north mbooni,TRAINING,,SCALING - BUILDING_RELATIONSHIPS,,8,Farmers  Icruf,5,3,0,https://radrs.icraf.org/uploaded/media/JPEG_f6a56156-a0f5-47dc-a847-bdab81137be6_1390350255.jpg,well represented
2025-12-09 13:06:21,2025-12-09,2025-12-09,Patrick Mwanzia,UKPact_NbS,Kenya,Makueni,Mbooni,kandula village,WORKSHOP_PERSON,,SCALING,,11,Community Government,6,1,4,https://radrs.icraf.org/uploaded/media/JPEG_52a6809f-30dd-4037-ad05-1a546d9429bf_1266691413881615037.jpg,"training was engaging
need more training
was paticipatory"
2025-12-09 13:27:21,2025-12-09,2025-12-09,Faith Kaunda,UKPact_NbS,Kenya,Makueni,Mbooni,Kandula,TRAINING - WORKSHOP_PERSON,,SCALING,,11,Government  Community,6,1,4,https://radrs.icraf.org/uploaded/media/JPEG_d9eaa94d-8967-45e8-8d42-eaec78a0432f_6324533974151018511.jpg,"It was  successful More enganging members were actively participating
We need more training"
2025-12-11 19:50:44,2025-12-09,2025-12-09,Jackline Joel,UKPact_NbS,Kenya,Makueni,Mbooni,kandula,WORKSHOP_PERSON - TRAINING,,SCALING,,11,Community National Government,6,1,4,https://radrs.icraf.org/uploaded/media/JPEG_39dbfd37-5cf9-4a4f-a447-943721e5ef30_4160374198467218830.jpg,was awesome
2025-12-10 12:17:47,2025-12-10,2025-12-10,George Kavoi,UKPact_NbS,Kenya,Makueni,Mbooni,Mavindu,TRAINING,,SCALING,,13,13,8,5,1,https://radrs.icraf.org/uploaded/media/JPEG_ccd83db1-2000-429d-9be5-3d973c99f3ce_3022569843458189580.jpg,gender equality
2025-12-10 12:23:07,2025-12-10,2025-12-10,Winfred Itute,UKPact_NbS,Kenya,Makueni,Mbooni,Mavindu,TRAINING,,SCALING,,13,13,8,5,1,https://radrs.icraf.org/uploaded/media/JPEG_b6d72b88-c227-4654-b6d9-714f4ef158f4_8671364260514697890.jpg,gender equality
2025-12-10 12:24:46,2025-12-10,2025-12-10,Richard Komu,UKPact_NbS,Kenya,Makueni,Mbooni,mavindu,TRAINING,,SCALING,,13,CFA Members,8,5,3,https://radrs.icraf.org/uploaded/media/JPEG_da31b793-c28e-464f-bd54-7995fff6f5d1_8811746757459406648.jpg,gender inclusivity
2025-12-10 12:25:26,2025-12-10,2025-12-10,Richard mutua,UKPact_NbS,Kenya,Makueni,Mbooni,mavindu,TRAINING,,SCALING,,13,Cfa Members,8,5,3,None,gender inclusion met
2025-12-10 13:47:45,2025-12-10,2025-12-10,Nancy Kitungule,UKPact_NbS,Kenya,Makueni,Mbooni,Mavindu,TRAINING,,SCALING,,13,13,8,5,1,https://radrs.icraf.org/uploaded/media/JPEG_a383c8c1-6dfb-492c-9a06-83e6ce6921c1_6321621603266724898.jpg,gender equality
2025-12-11 12:48:49,2025-12-11,2025-12-11,David Mulu,UKPact_NbS,Kenya,Makueni,Mbooni,utangwa mutunduni,TRAINING - WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,11,Countycomu,7,2,2,https://radrs.icraf.org/uploaded/media/JPEG_133f0ee8-c854-43ad-8d9a-dcc2e519ef6b_4665266860507723888.jpg,we need more training andtime toprepare the farmers
2025-12-11 12:53:48,2025-12-11,2025-12-11,Albhanus Muoki,UKPact_NbS,Kenya,Makueni,Mbooni,Utangwa mutunduni,TRAINING,,SCALING,,11,Community,7,2,2,https://radrs.icraf.org/uploaded/media/JPEG_869dd291-7de6-43ef-a389-c7b9651d3ef7_2441943754118102661.jpg,Our training was very intresting for we have learned many practises in our coserning agriculture
2025-12-11 12:46:28,2025-12-11,2025-11-11,Onesmus Kyangailo,UKPact_NbS,Kenya,Makueni,Mbooni,utangwa mutunduni,WORKSHOP_PERSON - TRAINING,,SCALING,,11,County Government Community,7,2,2,https://radrs.icraf.org/uploaded/media/JPEG_1ff2b510-f96f-4acf-9e19-1618c4efb0dd_8976556429215435992.jpg,"the training was educative and resourceful for future plannings and engagements more trainings are much needed more so on nursery and tree planting 
addition of time allocated for training need to be added"
2025-12-23 10:37:27,2025-12-14,2025-12-05,Richard Komu,UKPact_NbS,Kenya,Makueni,Mbooni,mulima coffee factory,FIELD_TRIP,,LOCAL_GOVERNANCE,,35,CFA Members,15,20,8,https://radrs.icraf.org/uploaded/media/JPEG_ff6b785d-0d64-4503-a829-7d42746716b5_191183377735006931.jpg,pwds included
2026-01-06 22:03:51,2026-01-06,2026-01-06,Richard Komu,UKPact_NbS,Kenya,Makueni,Mbooni,nzeveni,FIELD_TRIP,,LOCAL_GOVERNANCE,,29,Village Elders,20,9,2,https://radrs.icraf.org/uploaded/media/JPEG_179ba11e-1503-4cd1-b7f2-d3a5069d8042_1790779173380427906.jpg,pwds represented
