,Scientific name,Local name,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
63,Cussonia arborea,mwavwa,Kenya,mwavwa,local_name (replaced NA),Kenya,Cussonia arborea Hochst. ex A.Rich.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Apiales,Araliaceae,Cussonia,Cussonia arborea,99,Cussonia arborea,muwawa,Tanzania,R,cussonia arborea,0.1,Accepted,scientific_name,mwavwa,muwawa,both,Cussonia arborea
64,,mlevilia,Kenya,mlevilia,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
65,,mugrevlilia,Kenya,mugrevlilia,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
66,Erythrina abyssinica,mulungu,Kenya,mulungu,local_name (replaced NA),Kenya,Erythrina abyssinica Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Erythrina,Erythrina abyssinica,99,Erythrina abyssinica,Mulungu,Kenya,R,erythrina abyssinica,0,Accepted,scientific_name,mulungu,Mulungu,both,Erythrina abyssinica
67,Faidherbia albida,,Kenya,nan,local_name (replaced NA),Kenya,Faidherbia albida (Delile) A.Chev.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Faidherbia,Faidherbia albida,100,Faidherbia albida,nanda,Tanzania,R,faidherbia albida,0.093333333,Accepted,scientific_name,nan,nanda,both,Faidherbia albida
68,Persea americana,muovacado,Kenya,muovacado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,muovacado,Kenya,V,persea americana,0,Accepted,scientific_name,avocado,Avokado,both,Persea americana
69,Ficus sycomorus,mkuyu,Kenya,mkuyu,local_name (replaced NA),Kenya,Ficus sycomorus L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus sycomorus,100,Ficus sycomorus,mkuyu,Kenya,V,ficus sycomorus,0,Accepted,scientific_name,mkuyu,mkuyu,both,Ficus sycomorus
70,,mmosi,Kenya,mmosi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
71,,msuruwache,Kenya,msuruwache,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
72,Faidherbia albida,,Kenya,nan,local_name (replaced NA),Kenya,Faidherbia albida (Delile) A.Chev.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Faidherbia,Faidherbia albida,100,Faidherbia albida,nanda,Tanzania,R,faidherbia albida,0.093333333,Accepted,scientific_name,nan,nanda,both,Faidherbia albida
73,Ficus sycomorus,mkuyu,Kenya,mkuyu,local_name (replaced NA),Kenya,Ficus sycomorus L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus sycomorus,100,Ficus sycomorus,mkuyu,Kenya,V,ficus sycomorus,0,Accepted,scientific_name,mkuyu,mkuyu,both,Ficus sycomorus
74,,mngima,Kenya,mngima,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
75,,mnyadi,Kenya,mnyadi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
76,,chamsidu,Kenya,chamsidu,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
77,,mnyadi,Kenya,mnyadi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
78,,msumbesu,Kenya,msumbesu,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
79,,rosemary ,Kenya,rosemary,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
80,,mzambalanga,Kenya,mzambalanga,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
81,,mnyadi,Kenya,mnyadi,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
82,Grevillea robusta,mgrevulia,Kenya,mgrevulia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gruvelia,,T,grevillea robusta,0.078703704,Accepted,scientific_name,mukirismas,Mukima,both,Grevillea robusta
83,Carica papaya,mpapai ,Kenya,mpapai,local_name (replaced NA),Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,mpapai,Tanzania,R,carica papaya,0,Accepted,scientific_name,kivavai,kivavai,both,Carica papaya
84,,mngima ,Kenya,mngima,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
85,Flacourtia indica,mmbuchi,Kenya,mmbuchi,local_name (replaced NA),Kenya,Flacourtia indica (Burm.fil.) Merr.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Salicaceae,Flacourtia,Flacourtia indica,100,Flacourtia indica,msambuchi,Tanzania,R,flacourtia indica,0.066666667,Accepted,scientific_name,mmbuchi,msambuchi,both,Flacourtia indica
86,Ziziphus mauritiana,mzizi,Kenya,mzizi,local_name (replaced NA),Kenya,Ziziphus mauritiana Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Rhamnaceae,Ziziphus,Ziziphus mauritiana,100,Ziziphus mauritiana,zizi,,T,ziziphus mauritiana,0.066666667,Accepted,scientific_name,mzizi,zizi,both,Ziziphus mauritiana
87,Flacourtia indica,mora,Kenya,mora,local_name (replaced NA),Kenya,Flacourtia indica (Burm.fil.) Merr.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Salicaceae,Flacourtia,Flacourtia indica,100,Flacourtia indica,mgora,Tanzania,R,flacourtia indica,0.06,Accepted,scientific_name,mmbuchi,msambuchi,both,Flacourtia indica
88,,Mwindi Nguku,Kenya,mwindi nguku,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
