Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits
,Ndomoko,FRUITS SHADE FIREWOOD FODDER ,,True
,Mghunga,FIREWOOD ,,False
,Mshigha,SOIL_FERTILITY FRUITS SHADE MEDICINAL FIREWOOD FODDER ,,True
Azadirachta indica,mwarobaini,FIREWOOD SHADE CONSTRUCTION MEDICINAL FODDER ,,False
Unknown,kalila,FIREWOOD SHADE ,,False
Adansonia digitata,Kiamba,SHADE ,,False
Acacia tortillis,kimwaa,FIREWOOD FODDER SHADE ,,False
,kipambare,OTHER SHADE ,fencing,False
,towe,OTHER SHADE ,fencing,False
melia volkensii,kirumbutu,CONSTRUCTION SHADE ,,False
acacia melifera,iti,FIREWOOD SHADE ,fencing,False
,kisundi,SHADE ,fencing,False
,mfumbu,SHADE ,rope,False
,mwaghani,FIREWOOD SHADE ,,False
,mlundi,CONSTRUCTION SHADE MEDICINAL ,,False
,mshasha,SHADE ,berries,False
Eucalyptus camaldulensis,mkong0,FIREWOOD SHADE CONSTRUCTION ,,False
wattle,mugamu,FIREWOOD CONSTRUCTION ,,False
Eucalyptus camaldulensis,mkango,FIREWOOD CONSTRUCTION ,,False
Grevillea robusta,Grevilia,FIREWOOD SHADE CONSTRUCTION ,,False
Guava tree,mpera,FIREWOOD SHADE FRUITS FODDER SOIL_FERTILITY ,,True
Ficus conraui,Ndido,FIREWOOD SOIL_FERTILITY ,,False
Albizia coriaria,Mugamu,FIREWOOD SHADE CONSTRUCTION ,,False
,kitoo,SOIL_FERTILITY FIREWOOD CONSTRUCTION ,,False
,mwaa,MEDICINAL FIREWOOD FODDER ,,False
,kilului,FRUITS FIREWOOD SHADE ,,True
,kingole,FIREWOOD SHADE ,,False
,kilaa,FIREWOOD FODDER SHADE ,,False
,kitiithi,FIREWOOD SHADE ,,False
,kiukuu,CONSTRUCTION FIREWOOD MEDICINAL SHADE ,,False
Acacia tortillis,mwaa,SHADE CONSTRUCTION SOIL_FERTILITY ,,False
,kyooa,SHADE SOIL_FERTILITY ,,False
melia volkensii,mukau,SHADE CONSTRUCTION FIREWOOD ,,False
,Neem,SHADE SOIL_FERTILITY ,,False
,umbrella,SHADE SOIL_FERTILITY ,,False
,mumbaaume,SHADE MEDICINAL ,,False
Terminalia brownii,,SHADE SOIL_FERTILITY ,,False
,kiuuku,SHADE SOIL_FERTILITY ,,False
Croton megalocarpus,Kithulu,FODDER SOIL_FERTILITY SHADE FIREWOOD ,Fencing,False
,Kilaa,FIREWOOD SHADE CONSTRUCTION ,,False
Bambusa vulgaris,Bamboo,SOIL_FERTILITY CONSTRUCTION ,,False
,Mwaa,FIREWOOD FODDER SHADE SOIL_FERTILITY CONSTRUCTION ,,False
Senna siemea,Muchola,FIREWOOD FODDER SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,Mukenea,MEDICINAL FIREWOOD SHADE SOIL_FERTILITY CONSTRUCTION ,,False
Citrus limon,Itimo,FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True
,Mukilifi,FIREWOOD FODDER SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,Kithiia,FIREWOOD FODDER SHADE SOIL_FERTILITY CONSTRUCTION ,,False
Croton megalocarpus,Kithulu,FIREWOOD FODDER SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,Kikalawa,FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True
,Kithaalwa,FIREWOOD SHADE SOIL_FERTILITY ,Fencing,False
,Mwaa Wa usi,FIREWOOD FODDER SOIL_FERTILITY CONSTRUCTION ,,False
,Ndului,FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True
,Itithi,FIREWOOD SHADE SOIL_FERTILITY ,,False
Eucalyptus camaldulensis,Musanduku,FIREWOOD SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,Kiusya,SHADE SOIL_FERTILITY CONSTRUCTION ,threading,False
,muvingo,FIREWOOD SHADE SOIL_FERTILITY ,,False
,Kiuuku,FIREWOOD FODDER SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,Kalinguli,FIREWOOD FODDER SHADE ,,False
,Mwela ndathe,FIREWOOD FODDER SHADE SOIL_FERTILITY ,,False
,Kiundwa,FIREWOOD FODDER SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,Mululi,FIREWOOD SHADE SOIL_FERTILITY ,,False
,Mwarobaini,FIREWOOD FODDER SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,Kivuti,FIREWOOD SOIL_FERTILITY SHADE ,furniture,False
,Muthiiya,FIREWOOD SOIL_FERTILITY CONSTRUCTION SHADE ,,False
,ndului,FIREWOOD SOIL_FERTILITY SHADE FRUITS ,,True
,munina,FIREWOOD SHADE CONSTRUCTION ,,False
,kitului,FIREWOOD FRUITS SHADE ,,True
,Muthiia,FIREWOOD SHADE CONSTRUCTION ,,False
,wapugha,FIREWOOD SHADE ,,False
,mshigha,FIREWOOD SHADE MEDICINAL ,,False
,mwalungombe,FIREWOOD SHADE ,,False
,Kianzuki,SHADE FIREWOOD CONSTRUCTION ,,False
,Kithulu,SHADE FIREWOOD CONSTRUCTION ,,False
,"K
Kamuvemba",SHADE FIREWOOD CONSTRUCTION ,,False
,kimwaa,FODDER FIREWOOD ,for fencing,False
,mwela ndathe,MEDICINAL SHADE FIREWOOD CONSTRUCTION ,,False
,kisaaya,FODDER SHADE FIREWOOD FRUITS ,,True
,itungati,MEDICINAL FIREWOOD CONSTRUCTION ,,False
,kisemei,FODDER MEDICINAL FIREWOOD CONSTRUCTION ,for fencing,False
,muthiia,FODDER FIREWOOD CONSTRUCTION ,for fencing,False
,kithona,SHADE FIREWOOD ,,False
,kitoo,SHADE FIREWOOD FRUITS ,,True
,kyatha,MEDICINAL SHADE FIREWOOD ,,False
,mumutei,SHADE FIREWOOD ,,False
,kisemei,LEAF_VEGETABLES FIREWOOD ,,False
,kiama,SHADE FIREWOOD ,,False
,kithulu,CONSTRUCTION SHADE FIREWOOD ,,False
Geiger tree,,SHADE FIREWOOD FRUITS ,,True
,kilului,FODDER SOIL_FERTILITY FRUITS SHADE FIREWOOD ,,True
,kithiia,OTHER FIREWOOD ,fence,False
Acacia nilotica,musemei,FODDER SHADE FIREWOOD ,,False
,kilaa,FODDER CONSTRUCTION FIREWOOD ,,False
,mucemei,FODDER FIREWOOD ,,False
,kikolooso,FODDER SOIL_FERTILITY FIREWOOD ,,False
