,Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
660,Mangifera indica,mango,500,460,SHADE FRUITS FIREWOOD ,,TRUE,Kenya,mango,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,mango,Kenya,V,mangifera indica,0,Accepted,scientific_name,kiembe,kiembe,both,Mangifera indica
661,,mkweo azardrachta,300,164,CONSTRUCTION SHADE FIREWOOD ,,FALSE,Kenya,mkweo azardrachta,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
662,Psidium guajava,Guava tree,10,6,FRUITS ,,TRUE,Kenya,guava tree,local_name (replaced NA),Kenya,Psidium guajava L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Psidium,Psidium guajava,100,Psidium guajava,Guava Tree,,J,psidium guajava,0,Accepted,scientific_name,kipera,kipera,both,Psidium guajava
663,Carica papaya,Pawpaw,75,47,FRUITS ,,TRUE,Kenya,pawpaw,local_name (replaced NA),Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,Pawpaw,Uganda,R,carica papaya,0,Accepted,scientific_name,kipapai,kipapai,both,Carica papaya
664,Persea americana,avacado,50,30,FODDER FIREWOOD FRUITS SHADE ,,TRUE,Kenya,avacado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avacado,,J,persea americana,0,Accepted,scientific_name,avocado,Avokado,both,Persea americana
665,Vachellia,muriga,30,25,LEAF_VEGETABLES SHADE MEDICINAL ,,FALSE,Kenya,muriga,local_name (replaced NA),Kenya,Vachellia Wight & Arn.,GENUS,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,,99,Vachellia,Murigat,Kenya,R,acacia seyal,0.028571429,Accepted,scientific_name,muriga,Murigat,both,Vachellia
666,Melia volkensii,mukao,50,45,FIREWOOD SHADE ,,FALSE,Kenya,mukao,local_name (replaced NA),Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,Mukau,Kenya,R,melia volkensii,0.08,Accepted,scientific_name,mukau,Mukau,both,Melia volkensii
667,Faidherbia albida,,3,3,FIREWOOD SHADE ,,FALSE,Kenya,nan,local_name (replaced NA),Kenya,Faidherbia albida (Delile) A.Chev.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Faidherbia,Faidherbia albida,100,Faidherbia albida,nanda,Tanzania,R,faidherbia albida,0.093333333,Accepted,scientific_name,nan,nanda,both,Faidherbia albida
668,Citrus sinensis,Kisungwa,40,35,FRUITS FIREWOOD SOIL_FERTILITY ,,TRUE,Kenya,kisungwa,local_name (replaced NA),Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,kisungwa,Kenya,V,citrus sinensis,0,Accepted,scientific_name,kisungwa,kisungwa,both,Citrus sinensis
669,Mangifera indica,mango tree,52,49,FRUITS ,,TRUE,Kenya,mango tree,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,Mango tree,Kenya,V,mangifera indica,0,Accepted,scientific_name,kiembe,kiembe,both,Mangifera indica
